Author_Name,Paper_Count
"Gao, Zhen",6
"Gao, Zhipeng",5
"Garg, Sahil",8
"Ge, Chunpeng",5
"Ghosh, Uttam",6
"Goncalves, Tiago Cruz",6
"Goodell, John W.",12
"Gooi, Hoay Beng",6
"Grobys, Klaus",9
"Guesmi, Khaled",11
"Guidi, Barbara",6
"Guizani, Mohsen",16
"Gunay, Samet",5
"Guo, Song",7
"Guo, Yu",6
"Gupta, Govind P.",8
"Gupta, Rajesh",18
"Gupta, Rangan",6
"Habaebi, Mohamed Hadi",7
"Han, Dezhi",13
"Han, Zhu",10
"Hang, Lei",6
"Hasan, Haya R.",11
"Hassan, M. Kabir",5
"Hassija, Vikas",8
"He, Debiao",29
"He, Qinming",5
"He, Yunhua",6
"Hei, Yiming",5
"Hoang, Lai T.",5
"Hossain, M. Shamim",5
"Hou, Yang (Greg)",6
"Hu, Yang",6
"Huang, Cheng",7
"Huang, Gang",5
"Huang, George Q.",9
"Huang, Huawei",8
"Huang, Tao",5
"Huang, Xinyi",8
"Huang, Yongfeng",6
"Islam, Md Rafiqul",5
"Jadav, Nilesh Kumar",5
"Jalan, Akanksha",9
"Jamil, Faisal",6
"Jana, Susovon",5
"Jarboui, Anis",8
"Javaid, Nadeem",21
"Javed, Muhammad Umar",5
"Jayaraman, Raja",38
"Jeribi, Ahmed",9
"Jiang, Jing",5
"Jiang, Peng",6
"Jiang, Qingshan",5
"Jiang, Shangrong",5
"Jin, Hai",8
"Jin, Zilong",5
"Jurdak, Raja",5
"Kadadha, Maha",7
"Kakkar, Riya",8
"Kang, Sang Hoon",9
"Kanhere, Salil S.",9
"Karim, Sitara",8
"Katsiampa, Paraskevi",6
"Khalid, Rabiya",6
"Khan, Abdullah Ayub",16
"Khan, Abid",5
"Khan, Asad Ullah",5
"Khan, Muhammad Khurram",5
"Kim, Do-Hyeun",6
"Kim, DoHyeun",5
"Koutmos, Dimitrios",8
"Kristjanpoller, Werner",5
"Kristoufek, Ladislav",10
"Kumar, Neeraj",28
"Kumar, Prabhat",14
"Kumar, Randhir",15
"Kumari, Aparna",5
"Kumari, Saru",6
"Kuo, Tsung-Ting",5
"Kwapien, Jaroslaw",6
"Kyriazis, Nikolaos A.",7
"Laghari, Asif Ali",16
"Lahmiri, Salim",5
"Lal, Chhagan",8
"Larkin, Charles",7
"Lasla, Noureddine",6
"Lau, Chi Keung Marco",6
"Leng, Jiewu",8
"Leung, Victor C. M.",5
"Li, Bin",5
"Li, Changle",5
"Li, Chao",8
"Li, Chunlin",5
"Li, Dawei",7
"Li, Dun",9
"Li, Hao",7
"Li, Hongzhi",5
"Li, Hui",5
"Li, Jian",7
"Li, Jun",5
"Li, Kuan-Ching",10
"Li, Meng",13
"Li, Ming",7
"Li, Qi",7
"Li, Tao",9
"Li, Yan",6
"Li, Yang",5
"Li, Yannan",6
"Li, Yi",7
"Li, Yue",7
"Li, Zhi",6
"Liang, Wei",8
"Liew, Soung Chang",5
"Lin, Chao",9
"Lin, Dan",6
"Lin, Xiaodong",6
"Lin, Zhenzhi",5
"Liu, Dongxiao",6
"Liu, Hao",5
"Liu, Jian",6
"Liu, Jianwei",9
"Liu, Lu",5
"Liu, Peng",5
"Liu, Qiang",8
"Liu, Xin",5
"Liu, Yang",14
"Liu, Yi",5
"Liu, Yining",5
"Liu, Yuhan",6
"Liu, Zhe",6
"Liu, Zhenguang",5
"Liyanage, Madhusanka",9
"Lo, David",6
"Lu, Ning",5
"Lu, Qinghua",6
"Lu, Rongxing",5
"Lu, Yang",6
"Lu, Ye",5
"Lucey, Brian",13
"Lucey, Brian M.",6
"Luo, Min",6
"Luo, Xiapu",12
"Ma, Jianfeng",6
"Maesa, Damiano Di Francesco",7
"Marchesi, Michele",11
"Matkovskyy, Roman",9
"Meng, Weizhi",6
"Mensi, Walid",7
"Miao, Yinbin",5
"Michienzi, Andrea",5
"Misic, Jelena",10
"Misic, Vojislav B.",9
"Mizouni, Rabeb",9
"Mnif, Emna",7
"Mokni, Khaled",9
"Moulahi, Tarek",6
"Mu, Yi",5
"Naeem, Muhammad Abubakr",18
"Namasudra, Suyel",5
"Nekhili, Ramzi",5
"Ni, Jianbing",7
"Ning, Jianting",6
"Niyato, Dusit",9
"Oktian, Yustus Eko",5
"Omar, Ilhaam A.",6
"Omar, Mohammed",18
"Otrok, Hadi",11
"Oxley, Les",7
"Pan, Yi",5
"Pareschi, Remo",6
"Park, Jong Hyuk",10
"Park, Youngho",5
"Pasha, Muhammad Fermi",5
"Peng, Changgen",6
"Petri, Ioan",5
"Pradhan, Nihar Ranjan",6
"Qi, Yong",5
"Qiu, Chao",5
"Qiu, Xuesong",6
"Qu, Youyang",5
"Raboaca, Maria Simona",8
"Rai, Bipin Kumar",5
"Rajarajan, Muttukrishnan",5
"Ravi, Vinayakumar",5
"Rehman, Mobeen Ur",5
"Rehman, Muhammad Habib Ur",6
"Rejeb, Abderahman",5
"Ren, Wei",12
"Ren, Yi-Shuai",5
"Ren, Yongjun",6
"Rezaeibagha, Fatemeh",5
"Rhee, Kyung-Hyune",5
"Ricci, Laura",13
"Rodrigues, Joel J. P. C.",7
"Roubaud, David",6
"Roy, Diptendu Sinha",5
"Saad, Muhammad",6
"Sahu, Tarak Nath",5
"Salah, Khaled",46
"Sanseverino, Eleonora Riva",5
"Sapkota, Niranjan",5
"Saraswat, Deepti",5
"Sensoy, Ahmet",13
"Shafiq, Muhammad",7
"Shahzad, Syed Jawad Hussain",12
"Shaikh, Zaffar Ahmed",7
"Sharma, Gulshan",9
"Sharma, Pradip Kumar",5
"Sharma, Pratima",6
"Sharma, Ravi",12
"Shen, Dehua",7
"Shen, Meng",9
"Shen, Xuemin",10
"Shetty, Sachin",8
"Shi, Wenbo",7
"Shukla, Arpit",7
"Singh, Akhilendra Pratap",6
"Singh, Saurabh",5
"Singh, Shakti",8
"Smahi, Abla",5
"Srivastava, Gautam",9
"Su, Chi-Wei",6
"Su, Chunhua",6
"Su, Shen",6
"Su, Zhou",5
"Sun, Xiaobing",5
"Susilo, Willy",9
"Svetinovic, Davor",8
"Taherdoost, Hamed",5
"Tang, Changbing",6
"Tanwar, Sudeep",45
"Tao, Xingyu",7
"Tian, Zhihong",8
"Tiwari, Aviral Kumar",10
"Tolba, Amr",11
"Tonelli, Roberto",15
"Treiblmaier, Horst",6
"Tripathi, Rakesh",10
"Tsaur, Woei-Jiunn",5
"Umar, Muhammad",6
"Urbach, Nils",6
"Urquhart, Andrew",10
"Usman, Muhammad",6
"Vecchio, Massimo",5
"Vidal-Tomas, David",7
"Vigne, Samuel A.",5
"Viriyasitavat, Wattana",6
"Vo, Xuan Vinh",7
"Vollala, Satyanarayana",8
"Wan, Zhiguo",9
"Wang, Caifen",5
"Wang, Chao",5
"Wang, Cong",10
"Wang, Di",5
"Wang, Fei-Yue",9
"Wang, Ge",5
"Wang, Guojun",5
"Wang, Hao",10
"Wang, Huaqun",12
"Wang, Huaxiong",5
"Wang, Lei",8
"Wang, Lianhai",6
"Wang, Peng",6
"Wang, Pengfei",5
"Wang, Qian",6
"Wang, Shangping",5
"Wang, Shouyang",11
"Wang, Taotao",7
"Wang, Wei",9
"Wang, Weizheng",9
"Wang, Xiao",5
"Wang, Yilei",7
"Wang, Yu",5
"Watorek, Marcin",6
"Weng, Jian",8
"Weng, Tien-Hsiung",6
"Wu, Haitao",5
"Wu, Jiajing",19
"Wu, Jie",6
"Wu, Lei",8
"Wu, Qianhong",8
"Xia, Xin",6
"Xiang, Yong",9
"Xiao, Jiang",6
"Xiao, Ke",6
"Xiao, Zhe",5
"Xiong, Zehui",5
"Xu, Chang",5
"Xu, Chunxiang",6
"Xu, Ke",5
"Xu, Lei",7
"Xu, Xiwei",5
"Xu, Yang",6
"Xuan Vinh Vo",8
"Yahaya, Adamu Sani",5
"Yakubu, Bello Musa",5
"Yan, Zheng",5
"Yang, Jing",7
"Yang, Runkai",5
"Yang, Wenzhong",5
"Yang, Yang",7
"Yang, Yuanyuan",5
"Yang, Zhen",5
"Yaqoob, Ibrar",24
"Yarovaya, Larisa",19
"Yitmen, Ibrahim",5
"Yoon, Byungun",5
"Yousaf, Imran",8
"Yu, F. Richard",7
"Yu, Jia",6
"Yu, Keping",7
"Yu, Shui",8
"Yu, Xiaomei",6
"Yu, Yong",12
"Zaremba, Adam",5
"Zeadally, Sherali",9
"Zhang, Aiqing",5
"Zhang, Can",10
"Zhang, Cheng",7
"Zhang, Jie",5
"Zhang, Lei",13
"Zhang, Lejun",10
"Zhang, Ning",6
"Zhang, Qi",5
"Zhang, Qian",6
"Zhang, Rui",8
"Zhang, Shengli",8
"Zhang, Tao",7
"Zhang, Wei",9
"Zhang, Xiaosong",7
"Zhang, Xin",6
"Zhang, Yan",16
"Zhang, Yang",5
"Zhang, Yuan",6
"Zhang, Yuanyuan",5
"Zhang, Zijian",11
"Zheng, Zibin",36
"Zhong, Botao",6
"Zhong, Ray Y.",6
"Zhou, Ming",5
"Zhu, Liehuang",35
"Zhu, Qingyi",5
"Zhu, Tianqing",8
"Zhu, Yan",8
"Zichichi, Mirko",7
